CHEMBL3622533	DB11891
CHEMBL979	DB00371
a:Q419808	
CHEMBL1213252	DB00628
CHEMBL4297508	DB15123
CHEMBL2364609	
CHEMBL2108738	
CHEMBL1201670	
CHEMBL88	DB00531
CHEMBL429023	DB11457
CHEMBL715	DB00334
CHEMBL221753	
CHEMBL3545083	
CHEMBL1201325	DB06787
CHEMBL1201550	
CHEMBL44	DB01645
CHEMBL2108705	
CHEMBL814	DB00176
CHEMBL537	DB09526
CHEMBL482968	
CHEMBL727	DB00352
CHEMBL1201668	
CHEMBL1096882	
CHEMBL7568	DB01103
CHEMBL559612	
CHEMBL642	DB01193
CHEMBL1431	DB00331
CHEMBL3545135	
CHEMBL1742986	
CHEMBL3813873	DB12978
CHEMBL188	DB13950
CHEMBL2103884	DB11991
CHEMBL1162298	
CHEMBL4297831	
CHEMBL338474	
CHEMBL133576	
CHEMBL931	DB01159
CHEMBL1200592	DB01134
CHEMBL384467	DB01234
CHEMBL4298000	
CHEMBL1153	DB03671
CHEMBL1201216	DB00298
CHEMBL3544916	DB11918
CHEMBL3545145	
CHEMBL123	
CHEMBL1492017	
CHEMBL451887	DB08889
CHEMBL57	DB00238
CHEMBL1200374	DB00990
CHEMBL3544942	
CHEMBL42485	
CHEMBL2105721	DB12720
CHEMBL584442	
CHEMBL1286	DB01202
CHEMBL1200895	
CHEMBL945	DB00594
CHEMBL186526	
CHEMBL2103827	DB06262
CHEMBL1073	DB01067
CHEMBL597670	
CHEMBL3707400	
CHEMBL119625	
CHEMBL1697771	DB11656
CHEMBL601618	
CHEMBL1752	DB00651
CHEMBL1895252	
CHEMBL2333548	
CHEMBL48361	DB14726
CHEMBL70418	DB00349
CHEMBL431367	
CHEMBL71263	DB06235
CHEMBL3545206	
CHEMBL6437	DB06148
CHEMBL1200765	
CHEMBL862	DB01018
CHEMBL146525	
CHEMBL1200654	
CHEMBL1554531	
CHEMBL2220442	
CHEMBL1200694	DB01236
CHEMBL1200383	
CHEMBL486706	
CHEMBL1766	DB00547
CHEMBL4113131	DB14860
CHEMBL1201284	DB01012
CHEMBL50588	DB13393
CHEMBL157138	DB00589
CHEMBL970	DB00801
CHEMBL449317	DB04703
CHEMBL1368322	
CHEMBL372797	
CHEMBL90	DB05381
CHEMBL1201420	
CHEMBL1201605	
CHEMBL223228	DB00625
CHEMBL4298169	
CHEMBL2218885	
CHEMBL1743053	
CHEMBL556	DB00746
CHEMBL190	DB00277
CHEMBL8260	
CHEMBL1193	DB01620
CHEMBL1201237	DB01210
CHEMBL92281	
CHEMBL114551	DB12237
CHEMBL1367746	
CHEMBL15780	
CHEMBL404505	
CHEMBL169901	DB04840
CHEMBL67166	DB03203
CHEMBL3301612	DB11718
CHEMBL193	DB01115
CHEMBL1486366	
CHEMBL202721	
CHEMBL416	DB00553
CHEMBL274070	DB12515
CHEMBL1879463	DB11651
CHEMBL284616	DB12029
CHEMBL1328677	
CHEMBL42	DB00363
CHEMBL77098	
CHEMBL549880	
CHEMBL3707348	DB11703
CHEMBL69863	DB08399
CHEMBL728	DB00433
CHEMBL46516	DB04842
CHEMBL3545324	
CHEMBL1104	DB01010
CHEMBL85194	
CHEMBL33845	DB11396
CHEMBL1405922	
CHEMBL1076495	
CHEMBL429	DB00598
CHEMBL51483	DB13044
CHEMBL243148	
CHEMBL1201827	
CHEMBL1201729	
CHEMBL1201584	
CHEMBL888	DB00441
CHEMBL185	DB00544
CHEMBL655	DB00683
CHEMBL604321	
CHEMBL1201222	DB01255
CHEMBL704	DB00244
CHEMBL104	DB00257
CHEMBL1020	DB00500
CHEMBL1703	
CHEMBL1076347	DB11155
CHEMBL628	DB00806
CHEMBL1568	DB01073
CHEMBL2146883	DB05239
CHEMBL2103837	DB11644
CHEMBL37853	DB11507
CHEMBL1169388	DB08544
CHEMBL3833343	
CHEMBL2105738	DB12415
CHEMBL1351	
CHEMBL1568698	DB05087
CHEMBL406845	
CHEMBL1201156	
CHEMBL691	DB00977
CHEMBL599	DB00814
CHEMBL289277	DB07715
CHEMBL1742994	
CHEMBL2108621	
CHEMBL2041933	DB12242
CHEMBL661	DB00404
CHEMBL418971	DB06973
CHEMBL1493528	
CHEMBL565612	DB12369
CHEMBL549	DB00215
CHEMBL469	DB00465
CHEMBL1160008	
CHEMBL1201746	DB06813
CHEMBL1944698	
CHEMBL3301610	DB12001
CHEMBL224987	
CHEMBL703	DB00202
CHEMBL601719	DB08865
CHEMBL2107372	DB15384
CHEMBL1738	DB00380
CHEMBL1908397	
CHEMBL668	DB00344
CHEMBL379064	
CHEMBL1412489	
CHEMBL325109	DB13511
CHEMBL1111	DB06403
